# addr	region	name  (STT_OBJECT in ROM)
0x082EFDB0	rom	sText_SingleBattle
0x082EFDC0	rom	sText_DoubleBattle
0x082EFDD0	rom	sText_MultiBattle
0x082EFDE0	rom	sText_PokemonTrades
0x082EFDF0	rom	sText_Chat
0x082EFDF8	rom	sText_Cards
0x082EFE00	rom	sText_WonderCards
0x082EFE10	rom	sText_WonderNews
0x082EFE1C	rom	sText_PokemonJump
0x082EFE2C	rom	sText_BerryCrush
0x082EFE38	rom	sText_BerryPicking
0x082EFE48	rom	sText_Search
0x082EFE50	rom	sText_BerryBlender
0x082EFE60	rom	sText_RecordCorner
0x082EFE70	rom	sText_CoolContest
0x082EFE80	rom	sText_BeautyContest
0x082EFE90	rom	sText_CuteContest
0x082EFEA0	rom	sText_SmartContest
0x082EFEB0	rom	sText_ToughContest
0x082EFEC0	rom	sText_BattleTowerLv50
0x082EFED4	rom	sText_BattleTowerOpenLv
0x082EFEEC	rom	sText_ItsNormalCard
0x082EFF00	rom	sText_ItsBronzeCard
0x082EFF14	rom	sText_ItsCopperCard
0x082EFF28	rom	sText_ItsSilverCard
0x082EFF3C	rom	sText_ItsGoldCard
0x082EFF50	rom	sCardColorTexts
0x082EFF64	rom	sText_TrainerCardInfoPage1
0x082EFFA4	rom	sText_TrainerCardInfoPage2
0x082EFFDC	rom	sText_GladToMeetYouMale
0x082EFFFC	rom	sText_GladToMeetYouFemale
0x082F0018	rom	sGladToMeetYouTexts
0x082F0020	rom	sText_FinishedCheckingPlayersTrainerCard
0x082F0048	rom	sLinkGroupActivityNameTexts
0x082F00BC	rom	sWindowTemplate_BButtonCancel
0x082F00C4	rom	sLinkGroupToActivityAndCapacity
0x082F011C	rom	sWindowTemplate_PlayerList
0x082F0124	rom	sWindowTemplate_5PlayerList
0x082F012C	rom	sWindowTemplate_NumPlayerMode
0x082F0134	rom	sPossibleGroupMembersListMenuItems
0x082F015C	rom	sListMenuTemplate_PossibleGroupMembers
0x082F0174	rom	sWindowTemplate_GroupList
